chemical_formula,Tc,composition,elements,stoichiometry,Category,num_elements
Tl1Sr1.5Lu0.5Ca1Cu2O7,82.0,Tl1 Sr1.5 Lu0.5 Ca1 Cu2 O7,"[Element Tl, Element Sr, Element Lu, Element Ca, Element Cu, Element O]","{'Tl': 1.0, 'Sr': 1.5, 'Lu': 0.5, 'Ca': 1.0, 'Cu': 2.0, 'O': 7.0}",Cuprates,6
Ru0.92Ce0.58Sr1.7Eu1.8Cu2O10,26.0,Ru0.92 Ce0.58 Sr1.7 Eu1.8 Cu2 O10,"[Element Ru, Element Ce, Element Sr, Element Eu, Element Cu, Element O]","{'Ru': 0.92, 'Ce': 0.58, 'Sr': 1.7, 'Eu': 1.8, 'Cu': 2.0, 'O': 10.0}",Cuprates,6
Eu0.9Pr0.1Ba2Cu3O7,68.3,Eu0.9 Pr0.1 Ba2 Cu3 O7,"[Element Eu, Element Pr, Element Ba, Element Cu, Element O]","{'Eu': 0.9, 'Pr': 0.1, 'Ba': 2.0, 'Cu': 3.0, 'O': 7.0}",Cuprates,5
Eu0.8Pr0.2Ba2Cu3O7,63.0,Eu0.8 Pr0.2 Ba2 Cu3 O7,"[Element Eu, Element Pr, Element Ba, Element Cu, Element O]","{'Eu': 0.8, 'Pr': 0.2, 'Ba': 2.0, 'Cu': 3.0, 'O': 7.0}",Cuprates,5
Eu0.7Pr0.3Ba2Cu3O7,53.8,Eu0.7 Pr0.3 Ba2 Cu3 O7,"[Element Eu, Element Pr, Element Ba, Element Cu, Element O]","{'Eu': 0.7, 'Pr': 0.3, 'Ba': 2.0, 'Cu': 3.0, 'O': 7.0}",Cuprates,5
Eu0.6Pr0.4Ba2Cu3O7,37.8,Eu0.6 Pr0.4 Ba2 Cu3 O7,"[Element Eu, Element Pr, Element Ba, Element Cu, Element O]","{'Eu': 0.6, 'Pr': 0.4, 'Ba': 2.0, 'Cu': 3.0, 'O': 7.0}",Cuprates,5
Eu0.5Pr0.5Ba2Cu3O7,26.7,Eu0.5 Pr0.5 Ba2 Cu3 O7,"[Element Eu, Element Pr, Element Ba, Element Cu, Element O]","{'Eu': 0.5, 'Pr': 0.5, 'Ba': 2.0, 'Cu': 3.0, 'O': 7.0}",Cuprates,5
La1.9Er0.1Ba2Ca0.2Cu4.2O9.85,18.0,La1.9 Er0.1 Ba2 Ca0.2 Cu4.2 O9.85,"[Element La, Element Er, Element Ba, Element Ca, Element Cu, Element O]","{'La': 1.9, 'Er': 0.1, 'Ba': 2.0, 'Ca': 0.2, 'Cu': 4.2, 'O': 9.85}",Cuprates,6
La1.8Er0.2Ba2Ca0.4Cu4.4O10.371,40.0,La1.8 Er0.2 Ba2 Ca0.4 Cu4.4 O10.371,"[Element La, Element Er, Element Ba, Element Ca, Element Cu, Element O]","{'La': 1.8, 'Er': 0.2, 'Ba': 2.0, 'Ca': 0.4, 'Cu': 4.4, 'O': 10.371}",Cuprates,6
La1.75Er0.25Ba2Ca0.5Cu4.5O10.662,66.0,La1.75 Er0.25 Ba2 Ca0.5 Cu4.5 O10.662,"[Element La, Element Er, Element Ba, Element Ca, Element Cu, Element O]","{'La': 1.75, 'Er': 0.25, 'Ba': 2.0, 'Ca': 0.5, 'Cu': 4.5, 'O': 10.662}",Cuprates,6
La1.7Er0.3Ba2Ca0.6Cu4.6O10.92,70.0,La1.7 Er0.3 Ba2 Ca0.6 Cu4.6 O10.92,"[Element La, Element Er, Element Ba, Element Ca, Element Cu, Element O]","{'La': 1.7, 'Er': 0.3, 'Ba': 2.0, 'Ca': 0.6, 'Cu': 4.6, 'O': 10.92}",Cuprates,6
La1.65Er0.35Ba2Ca0.7Cu4.7O11.166,71.0,La1.65 Er0.35 Ba2 Ca0.7 Cu4.7 O11.166,"[Element La, Element Er, Element Ba, Element Ca, Element Cu, Element O]","{'La': 1.65, 'Er': 0.35, 'Ba': 2.0, 'Ca': 0.7, 'Cu': 4.7, 'O': 11.166}",Cuprates,6
La1.6Er0.4Ba2Ca0.8Cu4.8O11.424,76.0,La1.6 Er0.4 Ba2 Ca0.8 Cu4.8 O11.424,"[Element La, Element Er, Element Ba, Element Ca, Element Cu, Element O]","{'La': 1.6, 'Er': 0.4, 'Ba': 2.0, 'Ca': 0.8, 'Cu': 4.8, 'O': 11.424}",Cuprates,6
La1.55Er0.45Ba2Ca0.9Cu4.9O11.664,76.0,La1.55 Er0.45 Ba2 Ca0.9 Cu4.9 O11.664,"[Element La, Element Er, Element Ba, Element Ca, Element Cu, Element O]","{'La': 1.55, 'Er': 0.45, 'Ba': 2.0, 'Ca': 0.9, 'Cu': 4.9, 'O': 11.664}",Cuprates,6
La1.5Er0.5Ba2Ca1Cu5O11.907,78.0,La1.5 Er0.5 Ba2 Ca1 Cu5 O11.907,"[Element La, Element Er, Element Ba, Element Ca, Element Cu, Element O]","{'La': 1.5, 'Er': 0.5, 'Ba': 2.0, 'Ca': 1.0, 'Cu': 5.0, 'O': 11.907}",Cuprates,6
La1Er1Ba2Ca2Cu6O14.122,79.0,La1 Er1 Ba2 Ca2 Cu6 O14.122,"[Element La, Element Er, Element Ba, Element Ca, Element Cu, Element O]","{'La': 1.0, 'Er': 1.0, 'Ba': 2.0, 'Ca': 2.0, 'Cu': 6.0, 'O': 14.122}",Cuprates,6
Sm1La0.8Sr0.2Cu1O4,24.0,Sm1 La0.8 Sr0.2 Cu1 O4,"[Element Sm, Element La, Element Sr, Element Cu, Element O]","{'Sm': 1.0, 'La': 0.8, 'Sr': 0.2, 'Cu': 1.0, 'O': 4.0}",Cuprates,5
La1Ba2Cu3O7,89.6,La1 Ba2 Cu3 O7,"[Element La, Element Ba, Element Cu, Element O]","{'La': 1.0, 'Ba': 2.0, 'Cu': 3.0, 'O': 7.0}",Cuprates,4
La0.9Pr0.1Ba2Cu3O7,68.3,La0.9 Pr0.1 Ba2 Cu3 O7,"[Element La, Element Pr, Element Ba, Element Cu, Element O]","{'La': 0.9, 'Pr': 0.1, 'Ba': 2.0, 'Cu': 3.0, 'O': 7.0}",Cuprates,5
La0.8Pr0.2Ba2Cu3O7,59.8,La0.8 Pr0.2 Ba2 Cu3 O7,"[Element La, Element Pr, Element Ba, Element Cu, Element O]","{'La': 0.8, 'Pr': 0.2, 'Ba': 2.0, 'Cu': 3.0, 'O': 7.0}",Cuprates,5
La0.7Pr0.3Ba2Cu3O7,57.1,La0.7 Pr0.3 Ba2 Cu3 O7,"[Element La, Element Pr, Element Ba, Element Cu, Element O]","{'La': 0.7, 'Pr': 0.3, 'Ba': 2.0, 'Cu': 3.0, 'O': 7.0}",Cuprates,5
La0.6Pr0.4Ba2Cu3O7,54.8,La0.6 Pr0.4 Ba2 Cu3 O7,"[Element La, Element Pr, Element Ba, Element Cu, Element O]","{'La': 0.6, 'Pr': 0.4, 'Ba': 2.0, 'Cu': 3.0, 'O': 7.0}",Cuprates,5
La0.5Pr0.5Ba2Cu3O7,51.7,La0.5 Pr0.5 Ba2 Cu3 O7,"[Element La, Element Pr, Element Ba, Element Cu, Element O]","{'La': 0.5, 'Pr': 0.5, 'Ba': 2.0, 'Cu': 3.0, 'O': 7.0}",Cuprates,5
Ho1Ba2Cu2.94O6.94,77.0,Ho1 Ba2 Cu2.94 O6.94,"[Element Ho, Element Ba, Element Cu, Element O]","{'Ho': 1.0, 'Ba': 2.0, 'Cu': 2.94, 'O': 6.94}",Cuprates,4
Ho1Ba2Cu2.94O6.48,20.0,Ho1 Ba2 Cu2.94 O6.48,"[Element Ho, Element Ba, Element Cu, Element O]","{'Ho': 1.0, 'Ba': 2.0, 'Cu': 2.94, 'O': 6.48}",Cuprates,4
La1.913Sr0.087Cu1O4,25.0,La1.913 Sr0.087 Cu1 O4,"[Element La, Element Sr, Element Cu, Element O]","{'La': 1.913, 'Sr': 0.087, 'Cu': 1.0, 'O': 4.0}",Cuprates,4
La1.888Sr0.112Cu1O4,27.0,La1.888 Sr0.112 Cu1 O4,"[Element La, Element Sr, Element Cu, Element O]","{'La': 1.888, 'Sr': 0.112, 'Cu': 1.0, 'O': 4.0}",Cuprates,4
La1.862Sr0.138Cu1O4,33.0,La1.862 Sr0.138 Cu1 O4,"[Element La, Element Sr, Element Cu, Element O]","{'La': 1.862, 'Sr': 0.138, 'Cu': 1.0, 'O': 4.0}",Cuprates,4
La1.837Sr0.162Cu1O4,36.0,La1.837 Sr0.162 Cu1 O4,"[Element La, Element Sr, Element Cu, Element O]","{'La': 1.837, 'Sr': 0.162, 'Cu': 1.0, 'O': 4.0}",Cuprates,4
La1.788Sr0.213Cu1O4,23.0,La1.788 Sr0.213 Cu1 O4,"[Element La, Element Sr, Element Cu, Element O]","{'La': 1.788, 'Sr': 0.213, 'Cu': 1.0, 'O': 4.0}",Cuprates,4
La1.763Sr0.237Cu1O4,13.0,La1.763 Sr0.237 Cu1 O4,"[Element La, Element Sr, Element Cu, Element O]","{'La': 1.763, 'Sr': 0.237, 'Cu': 1.0, 'O': 4.0}",Cuprates,4
Ba0.64K0.36Bi1O3,28.5,Ba0.64 K0.36 Bi1 O3,"[Element Ba, Element K, Element Bi, Element O]","{'Ba': 0.64, 'K': 0.36, 'Bi': 1.0, 'O': 3.0}",Other,4
La1.77Sr0.23Cu1O4,21.3,La1.77 Sr0.23 Cu1 O4,"[Element La, Element Sr, Element Cu, Element O]","{'La': 1.77, 'Sr': 0.23, 'Cu': 1.0, 'O': 4.0}",Cuprates,4
La1.74Sr0.26Cu1O4,9.0,La1.74 Sr0.26 Cu1 O4,"[Element La, Element Sr, Element Cu, Element O]","{'La': 1.74, 'Sr': 0.26, 'Cu': 1.0, 'O': 4.0}",Cuprates,4
La1.73Sr0.27Cu1O4,12.0,La1.73 Sr0.27 Cu1 O4,"[Element La, Element Sr, Element Cu, Element O]","{'La': 1.73, 'Sr': 0.27, 'Cu': 1.0, 'O': 4.0}",Cuprates,4
La1.07Pr0.85Sr0.08Cu1O4,9.0,La1.07 Pr0.85 Sr0.08 Cu1 O4,"[Element La, Element Pr, Element Sr, Element Cu, Element O]","{'La': 1.07, 'Pr': 0.85, 'Sr': 0.08, 'Cu': 1.0, 'O': 4.0}",Cuprates,5
La1.04Pr0.85Sr0.11Cu1O4,17.0,La1.04 Pr0.85 Sr0.11 Cu1 O4,"[Element La, Element Pr, Element Sr, Element Cu, Element O]","{'La': 1.04, 'Pr': 0.85, 'Sr': 0.11, 'Cu': 1.0, 'O': 4.0}",Cuprates,5
La1.03Pr0.85Sr0.12Cu1O4,18.0,La1.03 Pr0.85 Sr0.12 Cu1 O4,"[Element La, Element Pr, Element Sr, Element Cu, Element O]","{'La': 1.03, 'Pr': 0.85, 'Sr': 0.12, 'Cu': 1.0, 'O': 4.0}",Cuprates,5
La1.02Pr0.85Sr0.13Cu1O4,22.0,La1.02 Pr0.85 Sr0.13 Cu1 O4,"[Element La, Element Pr, Element Sr, Element Cu, Element O]","{'La': 1.02, 'Pr': 0.85, 'Sr': 0.13, 'Cu': 1.0, 'O': 4.0}",Cuprates,5
La1.01Pr0.85Sr0.14Cu1O4,25.0,La1.01 Pr0.85 Sr0.14 Cu1 O4,"[Element La, Element Pr, Element Sr, Element Cu, Element O]","{'La': 1.01, 'Pr': 0.85, 'Sr': 0.14, 'Cu': 1.0, 'O': 4.0}",Cuprates,5
La1Pr0.85Sr0.15Cu1O4,28.0,La1 Pr0.85 Sr0.15 Cu1 O4,"[Element La, Element Pr, Element Sr, Element Cu, Element O]","{'La': 1.0, 'Pr': 0.85, 'Sr': 0.15, 'Cu': 1.0, 'O': 4.0}",Cuprates,5
La0.97Pr0.85Sr0.18Cu1O4,28.0,La0.97 Pr0.85 Sr0.18 Cu1 O4,"[Element La, Element Pr, Element Sr, Element Cu, Element O]","{'La': 0.97, 'Pr': 0.85, 'Sr': 0.18, 'Cu': 1.0, 'O': 4.0}",Cuprates,5
La0.95Pr0.85Sr0.2Cu1O4,27.0,La0.95 Pr0.85 Sr0.2 Cu1 O4,"[Element La, Element Pr, Element Sr, Element Cu, Element O]","{'La': 0.95, 'Pr': 0.85, 'Sr': 0.2, 'Cu': 1.0, 'O': 4.0}",Cuprates,5
La0.92Pr0.85Sr0.23Cu1O4,17.0,La0.92 Pr0.85 Sr0.23 Cu1 O4,"[Element La, Element Pr, Element Sr, Element Cu, Element O]","{'La': 0.92, 'Pr': 0.85, 'Sr': 0.23, 'Cu': 1.0, 'O': 4.0}",Cuprates,5
La0.9Pr0.85Sr0.25Cu1O4,10.0,La0.9 Pr0.85 Sr0.25 Cu1 O4,"[Element La, Element Pr, Element Sr, Element Cu, Element O]","{'La': 0.9, 'Pr': 0.85, 'Sr': 0.25, 'Cu': 1.0, 'O': 4.0}",Cuprates,5
Tl1Ba0.6Sr0.4La1Cu1O5,20.0,Tl1 Ba0.6 Sr0.4 La1 Cu1 O5,"[Element Tl, Element Ba, Element Sr, Element La, Element Cu, Element O]","{'Tl': 1.0, 'Ba': 0.6, 'Sr': 0.4, 'La': 1.0, 'Cu': 1.0, 'O': 5.0}",Cuprates,6
Tl1Ba0.3Sr0.7La1Cu1O5,30.0,Tl1 Ba0.3 Sr0.7 La1 Cu1 O5,"[Element Tl, Element Ba, Element Sr, Element La, Element Cu, Element O]","{'Tl': 1.0, 'Ba': 0.3, 'Sr': 0.7, 'La': 1.0, 'Cu': 1.0, 'O': 5.0}",Cuprates,6
Tl1Sr0.7Ca0.3La1Cu1O5,32.0,Tl1 Sr0.7 Ca0.3 La1 Cu1 O5,"[Element Tl, Element Sr, Element Ca, Element La, Element Cu, Element O]","{'Tl': 1.0, 'Sr': 0.7, 'Ca': 0.3, 'La': 1.0, 'Cu': 1.0, 'O': 5.0}",Cuprates,6
Tl1Sr0.4Ca0.6La1Cu1O5,26.0,Tl1 Sr0.4 Ca0.6 La1 Cu1 O5,"[Element Tl, Element Sr, Element Ca, Element La, Element Cu, Element O]","{'Tl': 1.0, 'Sr': 0.4, 'Ca': 0.6, 'La': 1.0, 'Cu': 1.0, 'O': 5.0}",Cuprates,6
Tl1Ba0.6Ca0.4La1Cu1O5,14.0,Tl1 Ba0.6 Ca0.4 La1 Cu1 O5,"[Element Tl, Element Ba, Element Ca, Element La, Element Cu, Element O]","{'Tl': 1.0, 'Ba': 0.6, 'Ca': 0.4, 'La': 1.0, 'Cu': 1.0, 'O': 5.0}",Cuprates,6
Tl1Ba0.4Ca0.6La1Cu1O5,16.0,Tl1 Ba0.4 Ca0.6 La1 Cu1 O5,"[Element Tl, Element Ba, Element Ca, Element La, Element Cu, Element O]","{'Tl': 1.0, 'Ba': 0.4, 'Ca': 0.6, 'La': 1.0, 'Cu': 1.0, 'O': 5.0}",Cuprates,6
Tl1Ba0.2Ca0.8La1Cu1O5,13.0,Tl1 Ba0.2 Ca0.8 La1 Cu1 O5,"[Element Tl, Element Ba, Element Ca, Element La, Element Cu, Element O]","{'Tl': 1.0, 'Ba': 0.2, 'Ca': 0.8, 'La': 1.0, 'Cu': 1.0, 'O': 5.0}",Cuprates,6
Ca0.4La1.25Ba1.35Cu3O6.99,38.0,Ca0.4 La1.25 Ba1.35 Cu3 O6.99,"[Element Ca, Element La, Element Ba, Element Cu, Element O]","{'Ca': 0.4, 'La': 1.25, 'Ba': 1.35, 'Cu': 3.0, 'O': 6.99}",Cuprates,5
Ca0.4La1.25Ba1.35Cu3O7.055,57.0,Ca0.4 La1.25 Ba1.35 Cu3 O7.055,"[Element Ca, Element La, Element Ba, Element Cu, Element O]","{'Ca': 0.4, 'La': 1.25, 'Ba': 1.35, 'Cu': 3.0, 'O': 7.055}",Cuprates,5
Ca0.4La1.25Ba1.35Cu3O7.135,76.0,Ca0.4 La1.25 Ba1.35 Cu3 O7.135,"[Element Ca, Element La, Element Ba, Element Cu, Element O]","{'Ca': 0.4, 'La': 1.25, 'Ba': 1.35, 'Cu': 3.0, 'O': 7.135}",Cuprates,5
Ca0.1La1.25Ba1.65Cu3O6.985,5.0,Ca0.1 La1.25 Ba1.65 Cu3 O6.985,"[Element Ca, Element La, Element Ba, Element Cu, Element O]","{'Ca': 0.1, 'La': 1.25, 'Ba': 1.65, 'Cu': 3.0, 'O': 6.985}",Cuprates,5
Er1Ba2Cu3O6.85,93.0,Er1 Ba2 Cu3 O6.85,"[Element Er, Element Ba, Element Cu, Element O]","{'Er': 1.0, 'Ba': 2.0, 'Cu': 3.0, 'O': 6.85}",Cuprates,4
Er1Ba2Cu2.95Ga0.05O6.75,90.0,Er1 Ba2 Cu2.95 Ga0.05 O6.75,"[Element Er, Element Ba, Element Cu, Element Ga, Element O]","{'Er': 1.0, 'Ba': 2.0, 'Cu': 2.95, 'Ga': 0.05, 'O': 6.75}",Cuprates,5
Er1Ba2Cu2.9Ga0.1O6.78,86.0,Er1 Ba2 Cu2.9 Ga0.1 O6.78,"[Element Er, Element Ba, Element Cu, Element Ga, Element O]","{'Er': 1.0, 'Ba': 2.0, 'Cu': 2.9, 'Ga': 0.1, 'O': 6.78}",Cuprates,5
Er1Ba2Cu2.85Ga0.15O6.69,82.0,Er1 Ba2 Cu2.85 Ga0.15 O6.69,"[Element Er, Element Ba, Element Cu, Element Ga, Element O]","{'Er': 1.0, 'Ba': 2.0, 'Cu': 2.85, 'Ga': 0.15, 'O': 6.69}",Cuprates,5
Eu1Ba2Cu3O6.82,94.0,Eu1 Ba2 Cu3 O6.82,"[Element Eu, Element Ba, Element Cu, Element O]","{'Eu': 1.0, 'Ba': 2.0, 'Cu': 3.0, 'O': 6.82}",Cuprates,4
Eu1Ba2Cu2.95Ga0.05O6.78,79.0,Eu1 Ba2 Cu2.95 Ga0.05 O6.78,"[Element Eu, Element Ba, Element Cu, Element Ga, Element O]","{'Eu': 1.0, 'Ba': 2.0, 'Cu': 2.95, 'Ga': 0.05, 'O': 6.78}",Cuprates,5
Eu1Ba2Cu2.9Ga0.1O6.74,52.0,Eu1 Ba2 Cu2.9 Ga0.1 O6.74,"[Element Eu, Element Ba, Element Cu, Element Ga, Element O]","{'Eu': 1.0, 'Ba': 2.0, 'Cu': 2.9, 'Ga': 0.1, 'O': 6.74}",Cuprates,5
Eu1Ba2Cu2.85Ga0.15O6.76,43.0,Eu1 Ba2 Cu2.85 Ga0.15 O6.76,"[Element Eu, Element Ba, Element Cu, Element Ga, Element O]","{'Eu': 1.0, 'Ba': 2.0, 'Cu': 2.85, 'Ga': 0.15, 'O': 6.76}",Cuprates,5
Eu1Ba2Cu2.8Ga0.2O6.63,14.0,Eu1 Ba2 Cu2.8 Ga0.2 O6.63,"[Element Eu, Element Ba, Element Cu, Element Ga, Element O]","{'Eu': 1.0, 'Ba': 2.0, 'Cu': 2.8, 'Ga': 0.2, 'O': 6.63}",Cuprates,5
Bi1.65Pb0.35Sr2Ca2Cu3O10,108.6,Bi1.65 Pb0.35 Sr2 Ca2 Cu3 O10,"[Element Bi, Element Pb, Element Sr, Element Ca, Element Cu, Element O]","{'Bi': 1.65, 'Pb': 0.35, 'Sr': 2.0, 'Ca': 2.0, 'Cu': 3.0, 'O': 10.0}",Cuprates,6
La2Cu1O4.017,34.7,La2 Cu1 O4.017,"[Element La, Element Cu, Element O]","{'La': 2.0, 'Cu': 1.0, 'O': 4.017}",Cuprates,3
La2Cu1O4.034,30.7,La2 Cu1 O4.034,"[Element La, Element Cu, Element O]","{'La': 2.0, 'Cu': 1.0, 'O': 4.034}",Cuprates,3
La2Cu1O4.047,29.7,La2 Cu1 O4.047,"[Element La, Element Cu, Element O]","{'La': 2.0, 'Cu': 1.0, 'O': 4.047}",Cuprates,3
La2Cu1O4.054,29.1,La2 Cu1 O4.054,"[Element La, Element Cu, Element O]","{'La': 2.0, 'Cu': 1.0, 'O': 4.054}",Cuprates,3
La2Cu1O4.066,38.0,La2 Cu1 O4.066,"[Element La, Element Cu, Element O]","{'La': 2.0, 'Cu': 1.0, 'O': 4.066}",Cuprates,3
La2Cu1O4.07,40.4,La2 Cu1 O4.07,"[Element La, Element Cu, Element O]","{'La': 2.0, 'Cu': 1.0, 'O': 4.07}",Cuprates,3
La2Cu1O4.095,37.8,La2 Cu1 O4.095,"[Element La, Element Cu, Element O]","{'La': 2.0, 'Cu': 1.0, 'O': 4.095}",Cuprates,3
Hg1Ba2Cu1O4,96.0,Hg1 Ba2 Cu1 O4,"[Element Hg, Element Ba, Element Cu, Element O]","{'Hg': 1.0, 'Ba': 2.0, 'Cu': 1.0, 'O': 4.0}",Cuprates,4
Hg1Ba2Ca1Cu2O6,125.0,Hg1 Ba2 Ca1 Cu2 O6,"[Element Hg, Element Ba, Element Ca, Element Cu, Element O]","{'Hg': 1.0, 'Ba': 2.0, 'Ca': 1.0, 'Cu': 2.0, 'O': 6.0}",Cuprates,5
Hg0.9Pb0.1Ba2Ca2Cu3O8,130.0,Hg0.9 Pb0.1 Ba2 Ca2 Cu3 O8,"[Element Hg, Element Pb, Element Ba, Element Ca, Element Cu, Element O]","{'Hg': 0.9, 'Pb': 0.1, 'Ba': 2.0, 'Ca': 2.0, 'Cu': 3.0, 'O': 8.0}",Cuprates,6
Hg0.8Pb0.2Ba2Ca2Cu3O8,132.0,Hg0.8 Pb0.2 Ba2 Ca2 Cu3 O8,"[Element Hg, Element Pb, Element Ba, Element Ca, Element Cu, Element O]","{'Hg': 0.8, 'Pb': 0.2, 'Ba': 2.0, 'Ca': 2.0, 'Cu': 3.0, 'O': 8.0}",Cuprates,6
Bi2Sr2Ca1Cu2O8.197,74.0,Bi2 Sr2 Ca1 Cu2 O8.197,"[Element Bi, Element Sr, Element Ca, Element Cu, Element O]","{'Bi': 2.0, 'Sr': 2.0, 'Ca': 1.0, 'Cu': 2.0, 'O': 8.197}",Cuprates,5
Bi2Sr2Ca0.9Pr0.1Cu2O8.234,75.8,Bi2 Sr2 Ca0.9 Pr0.1 Cu2 O8.234,"[Element Bi, Element Sr, Element Ca, Element Pr, Element Cu, Element O]","{'Bi': 2.0, 'Sr': 2.0, 'Ca': 0.9, 'Pr': 0.1, 'Cu': 2.0, 'O': 8.234}",Cuprates,6
Bi2Sr2Ca0.8Pr0.2Cu2O8.282,70.0,Bi2 Sr2 Ca0.8 Pr0.2 Cu2 O8.282,"[Element Bi, Element Sr, Element Ca, Element Pr, Element Cu, Element O]","{'Bi': 2.0, 'Sr': 2.0, 'Ca': 0.8, 'Pr': 0.2, 'Cu': 2.0, 'O': 8.282}",Cuprates,6
Bi2Sr2Ca0.7Pr0.3Cu2O8.299,60.8,Bi2 Sr2 Ca0.7 Pr0.3 Cu2 O8.299,"[Element Bi, Element Sr, Element Ca, Element Pr, Element Cu, Element O]","{'Bi': 2.0, 'Sr': 2.0, 'Ca': 0.7, 'Pr': 0.3, 'Cu': 2.0, 'O': 8.299}",Cuprates,6
Bi2Sr2Ca0.6Pr0.4Cu2O8.316,57.0,Bi2 Sr2 Ca0.6 Pr0.4 Cu2 O8.316,"[Element Bi, Element Sr, Element Ca, Element Pr, Element Cu, Element O]","{'Bi': 2.0, 'Sr': 2.0, 'Ca': 0.6, 'Pr': 0.4, 'Cu': 2.0, 'O': 8.316}",Cuprates,6
Bi2Sr2Ca0.5Pr0.5Cu2O8.329,5.1,Bi2 Sr2 Ca0.5 Pr0.5 Cu2 O8.329,"[Element Bi, Element Sr, Element Ca, Element Pr, Element Cu, Element O]","{'Bi': 2.0, 'Sr': 2.0, 'Ca': 0.5, 'Pr': 0.5, 'Cu': 2.0, 'O': 8.329}",Cuprates,6
Bi1.7Pb0.3Sr2Ca2Cu3O10,106.5,Bi1.7 Pb0.3 Sr2 Ca2 Cu3 O10,"[Element Bi, Element Pb, Element Sr, Element Ca, Element Cu, Element O]","{'Bi': 1.7, 'Pb': 0.3, 'Sr': 2.0, 'Ca': 2.0, 'Cu': 3.0, 'O': 10.0}",Cuprates,6
Bi1.7Pb0.3Sr2Ca2Cu3F0.2O9.8,111.0,Bi1.7 Pb0.3 Sr2 Ca2 Cu3 F0.2 O9.8,"[Element Bi, Element Pb, Element Sr, Element Ca, Element Cu, Element F, Element O]","{'Bi': 1.7, 'Pb': 0.3, 'Sr': 2.0, 'Ca': 2.0, 'Cu': 3.0, 'F': 0.2, 'O': 9.8}",Cuprates,7
Bi1.7Pb0.3Sr2Ca2Cu3F0.5O9.5,113.0,Bi1.7 Pb0.3 Sr2 Ca2 Cu3 F0.5 O9.5,"[Element Bi, Element Pb, Element Sr, Element Ca, Element Cu, Element F, Element O]","{'Bi': 1.7, 'Pb': 0.3, 'Sr': 2.0, 'Ca': 2.0, 'Cu': 3.0, 'F': 0.5, 'O': 9.5}",Cuprates,7
Bi1.7Pb0.3Sr2Ca2Cu3F0.8O9.2,117.6,Bi1.7 Pb0.3 Sr2 Ca2 Cu3 F0.8 O9.2,"[Element Bi, Element Pb, Element Sr, Element Ca, Element Cu, Element F, Element O]","{'Bi': 1.7, 'Pb': 0.3, 'Sr': 2.0, 'Ca': 2.0, 'Cu': 3.0, 'F': 0.8, 'O': 9.2}",Cuprates,7
Tl1Sr1La1Cu1O5.09,30.0,Tl1 Sr1 La1 Cu1 O5.09,"[Element Tl, Element Sr, Element La, Element Cu, Element O]","{'Tl': 1.0, 'Sr': 1.0, 'La': 1.0, 'Cu': 1.0, 'O': 5.09}",Cuprates,5
Tl1Ba0.3Sr0.7La1Cu1O5.11,25.0,Tl1 Ba0.3 Sr0.7 La1 Cu1 O5.11,"[Element Tl, Element Ba, Element Sr, Element La, Element Cu, Element O]","{'Tl': 1.0, 'Ba': 0.3, 'Sr': 0.7, 'La': 1.0, 'Cu': 1.0, 'O': 5.11}",Cuprates,6
Tl1Ba0.6Sr0.4La1Cu1O5.16,22.0,Tl1 Ba0.6 Sr0.4 La1 Cu1 O5.16,"[Element Tl, Element Ba, Element Sr, Element La, Element Cu, Element O]","{'Tl': 1.0, 'Ba': 0.6, 'Sr': 0.4, 'La': 1.0, 'Cu': 1.0, 'O': 5.16}",Cuprates,6
Tl1Ba1.3La0.7Cu1O5,38.8,Tl1 Ba1.3 La0.7 Cu1 O5,"[Element Tl, Element Ba, Element La, Element Cu, Element O]","{'Tl': 1.0, 'Ba': 1.3, 'La': 0.7, 'Cu': 1.0, 'O': 5.0}",Cuprates,5
Tl1Ba1.4La0.6Cu1O5,24.0,Tl1 Ba1.4 La0.6 Cu1 O5,"[Element Tl, Element Ba, Element La, Element Cu, Element O]","{'Tl': 1.0, 'Ba': 1.4, 'La': 0.6, 'Cu': 1.0, 'O': 5.0}",Cuprates,5
Eu0.8Pr0.2Ba2Cu4O8,63.5,Eu0.8 Pr0.2 Ba2 Cu4 O8,"[Element Eu, Element Pr, Element Ba, Element Cu, Element O]","{'Eu': 0.8, 'Pr': 0.2, 'Ba': 2.0, 'Cu': 4.0, 'O': 8.0}",Cuprates,5
Eu0.6Pr0.4Ba2Cu4O8,40.0,Eu0.6 Pr0.4 Ba2 Cu4 O8,"[Element Eu, Element Pr, Element Ba, Element Cu, Element O]","{'Eu': 0.6, 'Pr': 0.4, 'Ba': 2.0, 'Cu': 4.0, 'O': 8.0}",Cuprates,5
Eu0.5Pr0.5Ba2Cu4O8,27.5,Eu0.5 Pr0.5 Ba2 Cu4 O8,"[Element Eu, Element Pr, Element Ba, Element Cu, Element O]","{'Eu': 0.5, 'Pr': 0.5, 'Ba': 2.0, 'Cu': 4.0, 'O': 8.0}",Cuprates,5
Tl1Ba1.6La0.4Cu1O5,34.0,Tl1 Ba1.6 La0.4 Cu1 O5,"[Element Tl, Element Ba, Element La, Element Cu, Element O]","{'Tl': 1.0, 'Ba': 1.6, 'La': 0.4, 'Cu': 1.0, 'O': 5.0}",Cuprates,5
